claimReviewed,itemReviewed.author.name,itemReviewed.datePublished,datePublished,reviewRating.alternateName,language,domain,converted_label
La lámpara portátil de luz ultravioleta elimina el coronavirus en cinco segundos.,,,2020-05-08 00:00:00,falso,es,maldita.es,false
"Un cartel colocado en un centro sanitario de Madrid dice que no hay médicos de urgencias, pero que el bar de enfrente está abierto.",,,2022-11-14 00:00:00,falso,es,newtral.es,false
El aumento en las plataformas de hielo desmiente el calentamiento global,Varias Personas,2023-06-07,2023-06-22 23:23:00,falso,es,factual.afp.com,false
Ministra francesa Marlene Schiappa en ropa interior en la revista Playboy,,,2023-04-03 00:00:00,falso,es,maldita.es,false
Una niña de 10 años se casa con un hombre musulmán de 30 años. El islam tiene a la niña tan abducida que lo acepta sin apenas gesticular. ,,2023-10-29,2023-10-29 00:00:00,falso,es,newtral.es,false
"La vacuna contra la COVID-19 ""anula"" al 2,79% de la población",,,2021-01-27 00:00:00,falso,es,newtral.es,false
Sergio Massa revoleó vaso de vidrio a un camarógrafo de LN+,Varias fuentes,2023-11-07,2023-11-07 22:10:00,falso,es,factual.afp.com,false
La fundación NatGeo le donará un dólar por cada ‘like’ y dos por cada vez que lo compartas,Múltiples fuentes,,2019-03-29 23:53:00,falso,es,factual.afp.com,false
Manifestación de camioneros en Italia contra las medidas para frenar la pandemia de coronavirus,,,2022-02-11 00:00:00,falso,es,maldita.es,false
"La vicepresidenta segunda del Gobierno, Yolanda Díaz, y la secretaria de Estado de Igualdad y contra la Violencia de Género, Ángela Rodríguez ‘Pam’, aparecen en esta imagen sentadas en una sala de un Burger King. ",,,2023-06-11 00:00:00,falso,es,newtral.es,false
Destruyeron la estrella de Trump en Hollywood durante las protestas por la muerte de George Floyd,Varios autores,2020-05-27,2020-06-02 23:35:00,falso,es,factual.afp.com,false
Las vacunas contienen grafeno que oscurece la sangre. Los vacunados no pueden donar.,,,2021-10-22 00:00:00,falso,es,newtral.es,false
Imagenes satánicas de la semana de la moda de Nueva York,Varias fuentes,2023-02-20,2023-02-23 21:03:00,falso,es,factual.afp.com,false
Falso que NASA anuncia fisura en volcán de Yellowstone,,,2023-05-02 00:00:00,falso,es,factchequeado.com,false
Imágenes muestran el paso del huracán Ian en Florida,Varias fuentes,2022-09-28,2022-10-01 00:04:00,falso,es,factual.afp.com,false
"Elon Musk desarrolló la ""plataforma Tesla"" para invertir en la bolsa de valores.",,2023-07-11,2023-07-19 00:00:00,falso,es,univision.com,false
George Floyd está vivo y ha acudido a su propio funeral,,,2020-06-15 00:00:00,falso,es,maldita.es,false
"La mezcla de sábila (aloe), miel y tequila cura el cáncer",,,2023-11-06 00:00:00,falso,es,maldita.es,false
Este vídeo de una ciudad en llamas muestra la respuesta de Israel en Gaza tras el ataque de Hamás en octubre de 2023.,,,2023-10-09 00:00:00,falso,es,newtral.es,false
Analizamos un artículo actual que afirma que Pedro Sánchez ha autorizado el uso de chemtrails,La verdad ofende blog,,2022-05-13 16:23:00,falso,es,verificat.cat,false
Se ordena el cierre de todos los McDonald’s del mundo después de que el FBI desvelara que han servido carne humana durante 40 años. ,,,2023-04-20 00:00:00,falso,es,newtral.es,false
El Gobierno subirá el IVA de las mascarillas al 21% el próximo 1 de enero del 2022,,,2021-12-26 00:00:00,falso,es,newtral.es,false
Vídeo de aviones fumigando a la gente descaradamente en la playa y a baja altura en Perú. Por eso saben que va a haber un rebrote.,,,2020-11-01 00:00:00,falso,es,maldita.es,false
La proclamación de Pedro Castillo como presidente electo de Perú es ilegal,Varias fuentes,2021-07-20,2021-07-23 23:18:00,falso,es,factual.afp.com,false
La imagen viral de un torero arrepentido,,,2019-04-29 00:00:00,falso,es,newtral.es,false
